 X (m/s2), Theta (deg)
6.386533,93.575569
6.394913,92.219444
6.384139,91.431023
6.500257,91.425117
6.465542,90.973923
6.416461,92.583336
6.505046,92.974548
6.567295,93.366005
6.612785,93.846863
6.613982,93.64772
6.605602,92.979973
6.631939,93.145706
6.724115,93.139145
6.801927,92.570801
6.882133,92.34568
6.859388,92.293091
6.716933,91.965027
6.576872,92.856018
6.564901,93.667412
6.629545,94.358482
6.71813,94.467285
6.787562,94.392868
6.770802,93.682961
6.58166,92.224007
6.477513,94.15081
6.573281,96.160789
6.72651,95.552147
6.720524,94.579239
6.634333,93.585968
6.551733,93.266228
6.570887,94.383598
6.730101,94.542877
6.676231,93.311378
6.47871,93.94841
6.443994,94.499245
6.452374,93.119713
6.597223,92.036301
6.82946,91.525162
6.704962,90.297363
6.469133,89.972107
6.364985,90.809059
6.38773,91.544601
6.48709,92.746506
6.530185,92.629349
6.558916,92.010635
6.591237,91.71286
6.545747,91.511749
6.46195,91.976204
6.285976,92.886101
6.106411,93.872139
6.004658,95.198273
6.048951,95.970863
6.228516,95.816986
6.609194,95.276344
6.609194,95.331276
6.586449,95.690071
6.556521,95.64827
6.597223,95.140747
6.671443,94.241211
6.746861,93.274086
6.798336,92.887985
6.807912,92.992226
6.807912,93.544182
6.780379,94.067238
6.776788,94.440086
6.775591,94.310951
6.742072,93.815567
6.720524,93.195419
6.682217,93.094147
6.646304,93.429268
6.611588,93.465393
6.554127,93.85154
6.502652,94.27121
6.46195,94.53875
6.455965,94.361084
6.473921,94.206345
6.452374,93.824753
6.409278,93.950233
6.392519,94.370483
6.406884,94.524292
6.398504,94.602524
6.445191,94.818214
6.475119,94.975655
6.47871,94.547836
6.519411,94.074646
6.563704,93.93631
6.617573,93.653908
6.63553,93.515236
6.655881,93.867302
6.654684,94.001625
6.652289,93.778023
6.659472,93.616661
6.665458,93.528427
6.645107,93.40683
6.640318,93.253624
6.646304,93.125
6.72651,92.750381
6.847417,92.209641
7.024588,91.817513
7.174225,90.466621
7.301118,88.846397
7.546524,86.609627
7.546524,86.533157
8.221688,83.509506
8.580819,82.105034
8.76996,81.044449
8.568848,80.442871
8.221688,78.521919
7.862558,76.943626
7.649475,79.418915
7.544129,82.82795
7.190985,86.498146
6.979098,86.230804
7.228095,85.909126
7.733272,83.675735
8.35337,82.576546
8.848969,89.320541
8.42759,82.320839
8.540117,91.52903
8.649054,86.822952
8.754398,92.868347
8.942344,91.115517
9.300277,97.403999
9.61272,100.304642
9.983821,94.733253
10.92594,93.804832
12.09431,96.969521
13.708002,104.511856
16.509218,112.296745
19.72463,111.215172
22.961592,108.680603
26.048914,110.343124
27.404032,112.472977
26.121937,106.610809
22.669498,99.568672
20.54225,110.824318
20.752941,117.731789
22.772449,114.434814
24.734497,110.579399
26.914419,106.981628
28.91238,109.03392
30.656555,118.38813
31.250319,116.279884
27.105955,106.512642
19.13446,101.859123
8.519767,94.206551
-0.93733,97.636917
-13.746309,119.742973
-28.597542,82.649025
-33.636139,87.002327
-39.195477,92.578667
-39.195477,99.299225
-10.693702,130.404373
5.81791,159.536667
14.784196,149.10347
24.525005,111.724846
33.255463,89.463936
31.144974,63.559799
22.971169,42.077805
18.629284,41.420433
17.330429,49.487385
16.304514,52.020214
12.624625,51.526848
9.072827,55.935204
6.930017,70.344643
5.494693,88.104843
3.87741,104.877937
1.947683,102.150322
0.657208,57.917831
0.669179,51.787907
1.644817,55.866116
2.90297,58.078457
4.175488,57.831944
5.63236,58.537189
7.319075,64.05275
8.784326,66.349609
9.818622,66.455559
10.474632,67.664795
10.417171,69.135536
9.600749,69.595055
8.256405,69.464317
7.062895,71.236855
6.397307,75.525848
6.198588,78.541191
6.245275,80.241783
6.356606,83.354401
6.426037,84.928749
6.374562,85.772057
6.233304,86.612328
6.194997,87.95755
6.266823,90.74424
6.566098,92.004791
7.327454,91.086075
8.26239,87.812744
9.153033,85.076912
9.625888,82.666756
9.685743,82.208153
9.349358,83.343468
9.267955,86.138573
9.546879,92.447281
10.96664,92.7957
11.349713,91.920135
10.927136,90.348877
9.945514,92.063828
8.833407,93.316223
8.073248,97.380211
7.841011,98.848907
8.268375,97.342545
9.175778,94.064064
9.994595,89.875275
9.946711,86.319229
8.959103,84.029732
7.605182,86.506691
6.307524,90.436729
5.483919,92.440681
5.571307,91.624886
6.327875,90.770294
6.691794,90.632645
5.89213,92.329659
4.001908,96.825325
1.679533,98.36116
1.534683,98.505043
3.234566,100.332909
4.724957,96.66069
5.292383,102.632965
6.069301,107.993988
9.601946,101.995979
12.768278,89.98568
13.723564,82.280663
12.921507,78.350594
10.675745,76.514923
7.858967,80.156273
5.058948,88.192894
2.96881,97.322456
1.816002,105.28418
1.322796,108.582146
1.16837,107.813896
1.189918,106.793922
1.353921,106.460152
1.728614,106.701134
2.310405,105.573738
3.027468,103.077232
3.694253,99.933006
4.056975,96.890198
3.926491,94.62635
3.482366,93.728363
2.979584,93.592239
2.594118,93.757523
2.408567,93.556046
2.734178,91.491356
3.143587,90.206894
3.537433,88.623917
3.871424,87.265167
4.028244,86.71228
3.99712,86.704147
3.800795,87.343056
3.518279,88.457924
3.198653,89.712563
2.958036,90.782196
2.776077,91.863495
2.676718,92.343193
2.642002,92.657021
2.579752,93.149834
2.56419,92.494446
2.604892,91.950447
2.6839,91.65213
2.821567,90.473022
2.924517,90.93586
3.090914,89.745888
3.488352,86.929443
3.739743,88.921722
3.420117,95.393974
3.286042,94.727066
3.606865,90.490318
4.134786,94.694878
4.657919,92.652679
4.141969,91.322067
3.055001,94.335854
1.843535,95.873657
0.948104,96.314598
0.624887,96.686699
0.68953,96.051247
0.952892,95.189499
1.319205,94.358894
1.636437,93.619499
1.831564,92.899925
1.900996,92.521645
1.879448,92.137672
1.867477,91.586365
1.942895,91.441605
2.006341,91.508301
2.035071,91.337593
